"Book Title","Author","ISBN","Rank","Week","x","y"
"JAMES","Percival Everett","9780385550369",1,725,21750,30
"THE WOMEN","Kristin Hannah","9781250178633",2,725,21750,60
"WICKED","Gregory Maguire","9780061792946",3,725,21750,90
"FOURTH WING","Rebecca Yarros","9781649374042",4,725,21750,120
"THE HOUSEMAID","Freida McFadden","9781538742570",5,725,21750,150
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",6,725,21750,180
"THE GOD OF THE WOODS","Liz Moore","9780593418918",7,725,21750,210
"WIND AND TRUTH","Brandon Sanderson","9781250319180",8,725,21750,240
"IT STARTS WITH US","Colleen Hoover","9781668001226",9,725,21750,270
"IT ENDS WITH US","Colleen Hoover","9781501110368",10,725,21750,300
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",11,725,21750,330
"THE HOUSE OF CROSS","James Patterson","9780316402682",12,725,21750,360
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",13,725,21750,390
"QUICKSILVER","Callie Hart","9781538774199",14,725,21750,420
"IRON FLAME","Rebecca Yarros","9781649374172",15,725,21750,450
"JAMES","Percival Everett","9780385550369",1,724,21720,30
"WIND AND TRUTH","Brandon Sanderson","9781250319180",2,724,21720,60
"WICKED","Gregory Maguire","9780061792946",3,724,21720,90
"THE WOMEN","Kristin Hannah","9781250178633",4,724,21720,120
"FOURTH WING","Rebecca Yarros","9781649374042",5,724,21720,150
"THE HOUSE OF CROSS","James Patterson","9780316402682",6,724,21720,180
"THE GOD OF THE WOODS","Liz Moore","9780593418918",7,724,21720,210
"THE WEDDING PEOPLE","Alison Espach","9781250899576",8,724,21720,240
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",9,724,21720,270
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",10,724,21720,300
"THE HOUSEMAID","Freida McFadden","9781538742570",11,724,21720,330
"QUICKSILVER","Callie Hart","9781538774199",12,724,21720,360
"SMALL THINGS LIKE THESE","Claire Keegan","9780802158741",13,724,21720,390
"TO DIE FOR","David Baldacci","9781538757901",14,724,21720,420
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",15,724,21720,450
"WIND AND TRUTH","Brandon Sanderson","9781250319180",1,723,21690,30
"WICKED","Gregory Maguire","9780061792946",2,723,21690,60
"JAMES","Percival Everett","9780385550369",3,723,21690,90
"THE WOMEN","Kristin Hannah","9781250178633",4,723,21690,120
"FOURTH WING","Rebecca Yarros","9781649374042",5,723,21690,150
"THE HOUSE OF CROSS","James Patterson","9780316402682",6,723,21690,180
"QUICKSILVER","Callie Hart","9781538774199",7,723,21690,210
"THE NIGHTINGALE","Kristin Hannah","9780312577223",8,723,21690,240
"TO DIE FOR","David Baldacci","9781538757901",9,723,21690,270
"TOM CLANCY: DEFENSE PROTOCOL","Brian Andrews and Jeffrey Wilson","9780593717981",10,723,21690,300
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",11,723,21690,330
"THE HOUSEMAID","Freida McFadden","9781538742570",12,723,21690,360
"NOW OR NEVER","Janet Evanovich","9781668003138",13,723,21690,390
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",14,723,21690,420
"ALL THE COLORS OF THE DARK","Chris Whitaker","9780593798874",15,723,21690,450
"WICKED","Gregory Maguire","9780061792946",1,722,21660,30
"THE HOUSE OF CROSS","James Patterson","9780316402682",2,722,21660,60
"FOURTH WING","Rebecca Yarros","9781649374042",3,722,21660,90
"THE WOMEN","Kristin Hannah","9781250178633",4,722,21660,120
"JAMES","Percival Everett","9780385550369",5,722,21660,150
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",6,722,21660,180
"NOW OR NEVER","Janet Evanovich","9781668003138",7,722,21660,210
"THE HOUSEMAID","Freida McFadden","9781538742570",8,722,21660,240
"TO DIE FOR","David Baldacci","9781538757901",9,722,21660,270
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",10,722,21660,300
"VERITY","Colleen Hoover","9781791392796",11,722,21660,330
"THE MIRROR","Nora Roberts","9781250288776",12,722,21660,360
"THE BOYFRIEND","Freida McFadden","9781728296227",13,722,21660,390
"THE PERFECT MARRIAGE","Jeneva Rose","9781913419653",14,722,21660,420
"IRON FLAME","Rebecca Yarros","9781649374172",15,722,21660,450
"THE MIRROR","Nora Roberts","9781250288776",1,721,21630,30
"NOW OR NEVER","Janet Evanovich","9781668003138",2,721,21630,60
"THE SONGBIRD & THE HEART OF STONE","Carissa Broadbent","9781250367785",3,721,21630,90
"JAMES","Percival Everett","9780385550369",4,721,21630,120
"TO DIE FOR","David Baldacci","9781538757901",5,721,21630,150
"WICKED","Gregory Maguire","9780061792946",6,721,21630,180
"THE WOMEN","Kristin Hannah","9781250178633",7,721,21630,210
"FOURTH WING","Rebecca Yarros","9781649374042",8,721,21630,240
"THE CITY AND ITS UNCERTAIN WALLS","Haruki Murakami","9780593801970",9,721,21630,270
"TRIAL BY FIRE","Danielle Steel","9780593498583",10,721,21630,300
"THE BOYFRIEND","Freida McFadden","9781728296227",11,721,21630,330
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",12,721,21630,360
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",13,721,21630,390
"IN TOO DEEP","Lee Child and Andrew Child","9780593725801",14,721,21630,420
"THE HOUSEMAID","Freida McFadden","9781538742570",15,721,21630,450
"TO DIE FOR","David Baldacci","9781538757901",1,720,21600,30
"FOURTH WING","Rebecca Yarros","9781649374042",2,720,21600,60
"THE WOMEN","Kristin Hannah","9781250178633",3,720,21600,90
"THE BOYFRIEND","Freida McFadden","9781728296227",4,720,21600,120
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",5,720,21600,150
"THE HOUSEMAID","Freida McFadden","9781538742570",6,720,21600,180
"IN TOO DEEP","Lee Child and Andrew Child","9780593725801",7,720,21600,210
"HOW MY NEIGHBOR STOLE CHRISTMAS","Meghan Quinn","9781464230158",8,720,21600,240
"JAMES","Percival Everett","9780385550369",9,720,21600,270
"LIGHTS OUT","Navessa Allen","9781638932239",10,720,21600,300
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",11,720,21600,330
"WICKED","Gregory Maguire","9780061792946",12,720,21600,360
"IRON FLAME","Rebecca Yarros","9781649374172",13,720,21600,390
"THE GREY WOLF","Louise Penny","9781250328137",14,720,21600,420
"CLIVE CUSSLER: DESOLATION CODE","Graham Brown","9780593719206",15,720,21600,450
"HEXED","Emily McIntire","9781728275864",1,719,21570,30
"LOST AND LASSOED","Lyla Sage","9780593732458",2,719,21570,60
"THE GREY WOLF","Louise Penny","9781250328137",3,719,21570,90
"IN TOO DEEP","Lee Child and Andrew Child","9780593725801",4,719,21570,120
"THE BOYFRIEND","Freida McFadden","9781728296227",5,719,21570,150
"FOURTH WING","Rebecca Yarros","9781649374042",6,719,21570,180
"THE WAITING","Michael Connelly","9780316563796",7,719,21570,210
"THE WOMEN","Kristin Hannah","9781250178633",8,719,21570,240
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",9,719,21570,270
"THE HOUSEMAID","Freida McFadden","9781538742570",10,719,21570,300
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",11,719,21570,330
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",12,719,21570,360
"HOW MY NEIGHBOR STOLE CHRISTMAS","Meghan Quinn","9781464230158",13,719,21570,390
"LIGHTS OUT","Navessa Allen","9781638932239",14,719,21570,420
"IRON FLAME","Rebecca Yarros","9781649374172",15,719,21570,450
"THE GREY WOLF","Louise Penny","9781250328137",1,718,21540,30
"IN TOO DEEP","Lee Child and Andrew Child","9780593725801",2,718,21540,60
"THE BOYFRIEND","Freida McFadden","9781728296227",3,718,21540,90
"THE WAITING","Michael Connelly","9780316563796",4,718,21540,120
"FOURTH WING","Rebecca Yarros","9781649374042",5,718,21540,150
"THRONE OF SECRETS","Kerri Maniscalco","9780316557542",6,718,21540,180
"THE WOMEN","Kristin Hannah","9781250178633",7,718,21540,210
"THE HOUSEMAID","Freida McFadden","9781538742570",8,718,21540,240
"THE BLUE HOUR","Paula Hawkins","9780063396524",9,718,21540,270
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",10,718,21540,300
"IRON FLAME","Rebecca Yarros","9781649374172",11,718,21540,330
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",12,718,21540,360
"THE STRIKER","Ana Huang","9781464223327",13,718,21540,390
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",14,718,21540,420
"LIGHTS OUT","Navessa Allen","9781638932239",15,718,21540,450
"IN TOO DEEP","Lee Child and Andrew Child","9780593725801",1,717,21510,30
"THE STRIKER","Ana Huang","9781464223327",2,717,21510,60
"THE BOYFRIEND","Freida McFadden","9781728296227",3,717,21510,90
"THE WAITING","Michael Connelly","9780316563796",4,717,21510,120
"FOURTH WING","Rebecca Yarros","9781649374042",5,717,21510,150
"BLOODGUARD","Cecy Robson","9781649374059",6,717,21510,180
"THE WOMEN","Kristin Hannah","9781250178633",7,717,21510,210
"THE HOUSEMAID","Freida McFadden","9781538742570",8,717,21510,240
"THE FURY OF THE GODS","John Gwynne","9780316539951",9,717,21510,270
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",10,717,21510,300
"IRON FLAME","Rebecca Yarros","9781649374172",11,717,21510,330
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",12,717,21510,360
"ABSOLUTION","Jeff VanderMeer","9780374616595",13,717,21510,390
"IT ENDS WITH US","Colleen Hoover","9781501110368",14,717,21510,420
"HERE ONE MOMENT","Liane Moriarty","9780593798607",15,717,21510,450
"THE WAITING","Michael Connelly","9780316563796",1,716,21480,30
"THE BOYFRIEND","Freida McFadden","9781728296227",2,716,21480,60
"FOURTH WING","Rebecca Yarros","9781649374042",3,716,21480,90
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",4,716,21480,120
"THE HOUSEMAID","Freida McFadden","9781538742570",5,716,21480,150
"THE WOMEN","Kristin Hannah","9781250178633",6,716,21480,180
"IRON FLAME","Rebecca Yarros","9781649374172",7,716,21480,210
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",8,716,21480,240
"IT ENDS WITH US","Colleen Hoover","9781501110368",9,716,21480,270
"INTERMEZZO","Sally Rooney","9780374602635",10,716,21480,300
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",11,716,21480,330
"HOW MY NEIGHBOR STOLE CHRISTMAS","Meghan Quinn","9781464230158",12,716,21480,360
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",13,716,21480,390
"A CHRISTMAS DUET","Debbie Macomber","9780593725337",14,716,21480,420
"HERE ONE MOMENT","Liane Moriarty","9780593798607",15,716,21480,450
"THE BOYFRIEND","Freida McFadden","9781728296227",1,715,21450,30
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",2,715,21450,60
"THE HOUSEMAID","Freida McFadden","9781538742570",3,715,21450,90
"IDENTITY UNKNOWN","Patricia Cornwell","9781538770382",4,715,21450,120
"FOURTH WING","Rebecca Yarros","9781649374042",5,715,21450,150
"THE WOMEN","Kristin Hannah","9781250178633",6,715,21450,180
"IRON FLAME","Rebecca Yarros","9781649374172",7,715,21450,210
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",8,715,21450,240
"THE STARS ARE DYING","Chloe C. Peñaranda","9781250355669",9,715,21450,270
"INTERMEZZO","Sally Rooney","9780374602635",10,715,21450,300
"IT ENDS WITH US","Colleen Hoover","9781501110368",11,715,21450,330
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",12,715,21450,360
"THE LAST ONE AT THE WEDDING","Jason Rekulak","9781250895783",13,715,21450,390
"LIES HE TOLD ME","James Patterson and David Ellis","9780316403894",14,715,21450,420
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",15,715,21450,450
"THE BOYFRIEND","Freida McFadden","9781728296227",1,714,21420,30
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",2,714,21420,60
"FOURTH WING","Rebecca Yarros","9781649374042",3,714,21420,90
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",4,714,21420,120
"LIES HE TOLD ME","James Patterson and David Ellis","9780316403894",5,714,21420,150
"WHEN THE MOON HATCHED","Sarah A. Parker","9780063415843",6,714,21420,180
"INTERMEZZO","Sally Rooney","9780374602635",7,714,21420,210
"TRIANGLE","Danielle Steel","9780593498552",8,714,21420,240
"THE WOMEN","Kristin Hannah","9781250178633",9,714,21420,270
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",10,714,21420,300
"IT ENDS WITH US","Colleen Hoover","9781501110368",11,714,21420,330
"BEACH READ","Emily Henry","9781984806734",12,714,21420,360
"THE HOUSEMAID","Freida McFadden","9781538742570",13,714,21420,390
"HERE ONE MOMENT","Liane Moriarty","9780593798607",14,714,21420,420
"IRON FLAME","Rebecca Yarros","9781649374172",15,714,21420,450
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",1,713,21390,30
"INTERMEZZO","Sally Rooney","9780374602635",2,713,21390,60
"FOURTH WING","Rebecca Yarros","9781649374042",3,713,21390,90
"IT ENDS WITH US","Colleen Hoover","9781501110368",4,713,21390,120
"THE WOMEN","Kristin Hannah","9781250178633",5,713,21390,150
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",6,713,21390,180
"GOLDFINCH","Raven Kennedy","9781464224461",7,713,21390,210
"HERE ONE MOMENT","Liane Moriarty","9780593798607",8,713,21390,240
"THE HOUSEMAID","Freida McFadden","9781538742570",9,713,21390,270
"IRON FLAME","Rebecca Yarros","9781649374172",10,713,21390,300
"IT STARTS WITH US","Colleen Hoover","9781668001226",11,713,21390,330
"PLAYGROUND","Richard Powers","9781324086031",12,713,21390,360
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",13,713,21390,390
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",14,713,21390,420
"TELL ME EVERYTHING","Elizabeth Strout","9780593446096",15,713,21390,450
"FOURTH WING","Rebecca Yarros","9781649374042",1,712,21360,30
"WE SOLVE MURDERS","Richard Osman","9780593653227",2,712,21360,60
"THE BUTCHER GAME","Alaina Urquhart","9781638931249",3,712,21360,90
"IT ENDS WITH US","Colleen Hoover","9781501110368",4,712,21360,120
"THE WOMEN","Kristin Hannah","9781250178633",5,712,21360,150
"HERE ONE MOMENT","Liane Moriarty","9780593798607",6,712,21360,180
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",7,712,21360,210
"IT STARTS WITH US","Colleen Hoover","9781668001226",8,712,21360,240
"THE HOUSEMAID","Freida McFadden","9781538742570",9,712,21360,270
"THE NIGHT WE LOST HIM","Laura Dave","9781668002933",10,712,21360,300
"IRON FLAME","Rebecca Yarros","9781649374172",11,712,21360,330
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",12,712,21360,360
"TELL ME EVERYTHING","Elizabeth Strout","9780593446096",13,712,21360,390
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",14,712,21360,420
"THE PERFECT COUPLE","Elin Hilderbrand","9780316375269",15,712,21360,450
"SOMEWHERE BEYOND THE SEA","TJ Klune","9781250881205",1,711,21330,30
"HERE ONE MOMENT","Liane Moriarty","9780593798607",2,711,21330,60
"TELL ME EVERYTHING","Elizabeth Strout","9780593446096",3,711,21330,90
"IT ENDS WITH US","Colleen Hoover","9781501110368",4,711,21330,120
"THE WOMEN","Kristin Hannah","9781250178633",5,711,21330,150
"IT STARTS WITH US","Colleen Hoover","9781668001226",6,711,21330,180
"THE PERFECT COUPLE","Elin Hilderbrand","9780316375269",7,711,21330,210
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",8,711,21330,240
"THE HOUSEMAID","Freida McFadden","9781538742570",9,711,21330,270
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",10,711,21330,300
"IRON FLAME","Rebecca Yarros","9781649374172",11,711,21330,330
"VINCE FLYNN: CAPTURE OR KILL","Don Bentley","9781668045831",12,711,21330,360
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",13,711,21330,390
"THE GAMES GODS PLAY","Abigail Owen","9781649376565",14,711,21330,420
"THE LIFE IMPOSSIBLE","Matt Haig","9780593489277",15,711,21330,450
"PASSIONS IN DEATH","J.D. Robb","9781250289568",1,710,21300,30
"VINCE FLYNN: CAPTURE OR KILL","Don Bentley","9781668045831",2,710,21300,60
"IT ENDS WITH US","Colleen Hoover","9781501110368",3,710,21300,90
"IT STARTS WITH US","Colleen Hoover","9781668001226",4,710,21300,120
"WILD EYES","Elsie Silver","9781464220821",5,710,21300,150
"THE WOMEN","Kristin Hannah","9781250178633",6,710,21300,180
"THE GAMES GODS PLAY","Abigail Owen","9781649376565",7,710,21300,210
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",8,710,21300,240
"DAYDREAM","Hannah Grace","9781668026250",9,710,21300,270
"THE LIFE IMPOSSIBLE","Matt Haig","9780593489277",10,710,21300,300
"THE HOUSEMAID","Freida McFadden","9781538742570",11,710,21300,330
"THE PERFECT COUPLE","Elin Hilderbrand","9780316375269",12,710,21300,360
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",13,710,21300,390
"THE CURSED","Harper L. Woods","9781250358943",14,710,21300,420
"IRON FLAME","Rebecca Yarros","9781649374172",15,710,21300,450
"DAYDREAM","Hannah Grace","9781668026250",1,709,21270,30
"IT ENDS WITH US","Colleen Hoover","9781501110368",2,709,21270,60
"IT STARTS WITH US","Colleen Hoover","9781668001226",3,709,21270,90
"THE WOMEN","Kristin Hannah","9781250178633",4,709,21270,120
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",5,709,21270,150
"THE HOUSEMAID","Freida McFadden","9781538742570",6,709,21270,180
"IRON FLAME","Rebecca Yarros","9781649374172",7,709,21270,210
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",8,709,21270,240
"THE DARK WIVES","Ann Cleeves","9781250836847",9,709,21270,270
"BY ANY OTHER NAME","Jodi Picoult","9780593497210",10,709,21270,300
"THE GOD OF THE WOODS","Liz Moore","9780593418918",11,709,21270,330
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",12,709,21270,360
"THE WEDDING PEOPLE","Alison Espach","9781250899576",13,709,21270,390
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",14,709,21270,420
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",15,709,21270,450
"IT ENDS WITH US","Colleen Hoover","9781501110368",1,708,21240,30
"IT STARTS WITH US","Colleen Hoover","9781668001226",2,708,21240,60
"BY ANY OTHER NAME","Jodi Picoult","9780593497210",3,708,21240,90
"THIS IS WHY WE LIED","Karin Slaughter","9780063336728",4,708,21240,120
"THE WOMEN","Kristin Hannah","9781250178633",5,708,21240,150
"THE HOUSEMAID","Freida McFadden","9781538742570",6,708,21240,180
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",7,708,21240,210
"SPIRIT CROSSING","William Kent Krueger","9781982179243",8,708,21240,240
"BETRAYAL ROAD","Christine Feehan","9780593638798",9,708,21240,270
"TOM CLANCY: SHADOW STATE","M.P. Woodward","9780593717943",10,708,21240,300
"IRON FLAME","Rebecca Yarros","9781649374172",11,708,21240,330
"THE WEDDING PEOPLE","Alison Espach","9781250899576",12,708,21240,360
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",13,708,21240,390
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",14,708,21240,420
"THE GOD OF THE WOODS","Liz Moore","9780593418918",15,708,21240,450
"IT ENDS WITH US","Colleen Hoover","9781501110368",1,707,21210,30
"IT STARTS WITH US","Colleen Hoover","9781668001226",2,707,21210,60
"BORN OF BLOOD AND ASH","Jennifer L. Armentrout","9781957568782",3,707,21210,90
"ANGEL OF VENGEANCE","Douglas Preston and Lincoln Child","9781538765708",4,707,21210,120
"THE WOMEN","Kristin Hannah","9781250178633",5,707,21210,150
"THE HOUSEMAID","Freida McFadden","9781538742570",6,707,21210,180
"JOY","Danielle Steel","9780593498613",7,707,21210,210
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",8,707,21210,240
"VERITY","Colleen Hoover","9781791392796",9,707,21210,270
"THE WEDDING PEOPLE","Alison Espach","9781250899576",10,707,21210,300
"IRON FLAME","Rebecca Yarros","9781649374172",11,707,21210,330
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",12,707,21210,360
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",13,707,21210,390
"APPRENTICE TO THE VILLAIN","Hannah Nicole Maehrer","9781649377173",14,707,21210,420
"THE GOD OF THE WOODS","Liz Moore","9780593418918",15,707,21210,450
"IT ENDS WITH US","Colleen Hoover","9781501110368",1,706,21180,30
"APPRENTICE TO THE VILLAIN","Hannah Nicole Maehrer","9781649377173",2,706,21180,60
"SHADOW OF DOUBT","Brad Thor","9781982182236",3,706,21180,90
"IT STARTS WITH US","Colleen Hoover","9781668001226",4,706,21180,120
"THE WOMEN","Kristin Hannah","9781250178633",5,706,21180,150
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",6,706,21180,180
"THE HOUSEMAID","Freida McFadden","9781538742570",7,706,21180,210
"THE PAIRING","Casey McQuiston","9781250862747",8,706,21180,240
"JUST FOR THE SUMMER","Ab Jimenez","9781538704431",9,706,21180,270
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",10,706,21180,300
"THE MERCY OF GODS","James S.A. Corey","9780316525572",11,706,21180,330
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",12,706,21180,360
"THE COVEN","Harper L. Woods","9781250346742",13,706,21180,390
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",14,706,21180,420
"ARKANGEL","James Rollins","9780062893192",15,706,21180,450
"IT ENDS WITH US","Colleen Hoover","9781501110368",1,705,21150,30
"THE WOMEN","Kristin Hannah","9781250178633",2,705,21150,60
"HARD TO KILL","James Patterson and Mike Lupica","9780316569910",3,705,21150,90
"THE HOUSEMAID","Freida McFadden","9781538742570",4,705,21150,120
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",5,705,21150,150
"THE WEDDING PEOPLE","Alison Espach","9781250899576",6,705,21150,180
"IT STARTS WITH US","Colleen Hoover","9781668001226",7,705,21150,210
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",8,705,21150,240
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",9,705,21150,270
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",10,705,21150,300
"THE GOD OF THE WOODS","Liz Moore","9780593418918",11,705,21150,330
"SWAN SONG","Elin Hilderbrand","9780316258876",12,705,21150,360
"A COURT OF WINGS AND RUIN","Sarah J. Maas","9781635575606",13,705,21150,390
"IRON FLAME","Rebecca Yarros","9781649374172",14,705,21150,420
"JUST FOR THE SUMMER","Ab Jimenez","9781538704431",15,705,21150,450
"IT ENDS WITH US","Colleen Hoover","9781501110368",1,704,21120,30
"THE WOMEN","Kristin Hannah","9781250178633",2,704,21120,60
"THE HOUSEMAID","Freida McFadden","9781538742570",3,704,21120,90
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",4,704,21120,120
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",5,704,21120,150
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",6,704,21120,180
"IT STARTS WITH US","Colleen Hoover","9781668001226",7,704,21120,210
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",8,704,21120,240
"THE GOD OF THE WOODS","Liz Moore","9780593418918",9,704,21120,270
"ALL THE COLORS OF THE DARK","Chris Whitaker","9780593798874",10,704,21120,300
"FOURTH WING","Rebecca Yarros","9781649374042",11,704,21120,330
"SWAN SONG","Elin Hilderbrand","9780316258876",12,704,21120,360
"THE BOOK OF ELSEWHERE","Keanu Reeves and China Miéville","9780593446591",13,704,21120,390
"A COURT OF WINGS AND RUIN","Sarah J. Maas","9781635575606",14,704,21120,420
"IRON FLAME","Rebecca Yarros","9781649374172",15,704,21120,450
"THE BLACK BIRD ORACLE","Deborah Harkness","9780593724774",1,703,21090,30
"THE WOMEN","Kristin Hannah","9781250178633",2,703,21090,60
"IT ENDS WITH US","Colleen Hoover","9781501110368",3,703,21090,90
"THE HOUSEMAID","Freida McFadden","9781538742570",4,703,21090,120
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",5,703,21090,150
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",6,703,21090,180
"THE AU PAIR AFFAIR","Tessa Bailey","9780063308435",7,703,21090,210
"REMARKABLY BRIGHT CREATURES","Shel Van Pelt","9780063204157",8,703,21090,240
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",9,703,21090,270
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",10,703,21090,300
"A DEATH IN CORNWALL","Daniel Silva","9780063384200",11,703,21090,330
"SWAN SONG","Elin Hilderbrand","9780316258876",12,703,21090,360
"NEVER LIE","Freida McFadden","9781728296166",13,703,21090,390
"FOURTH WING","Rebecca Yarros","9781649374042",14,703,21090,420
"THE INMATE","Freida McFadden","9781728296173",15,703,21090,450
"A DEATH IN CORNWALL","Daniel Silva","9780063384200",1,702,21060,30
"THE WOMEN","Kristin Hannah","9781250178633",2,702,21060,60
"THE HOUSEMAID","Freida McFadden","9781538742570",3,702,21060,90
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",4,702,21060,120
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",5,702,21060,150
"THE SUMMER PACT","Emily Giffin","9780593600290",6,702,21060,180
"IT ENDS WITH US","Colleen Hoover","9781501110368",7,702,21060,210
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",8,702,21060,240
"JUST FOR THE SUMMER","Ab Jimenez","9781538704431",9,702,21060,270
"SWAN SONG","Elin Hilderbrand","9780316258876",10,702,21060,300
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",11,702,21060,330
"A COURT OF WINGS AND RUIN","Sarah J. Maas","9781635575606",12,702,21060,360
"FOURTH WING","Rebecca Yarros","9781649374042",13,702,21060,390
"IRON FLAME","Rebecca Yarros","9781649374172",14,702,21060,420
"FUNNY STORY","Emily Henry","9780593441282",15,702,21060,450
"THE WOMEN","Kristin Hannah","9781250178633",1,701,21030,30
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",2,701,21030,60
"THE HOUSEMAID","Freida McFadden","9781538742570",3,701,21030,90
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",4,701,21030,120
"SWAN SONG","Elin Hilderbrand","9780316258876",5,701,21030,150
"THE GOD OF THE WOODS","Liz Moore","9780593418918",6,701,21030,180
"FLASHPOINT","Catherine Coulter","9780063283121",7,701,21030,210
"ERUPTION","Michael Crichton and James Patterson","9780316565073",8,701,21030,240
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",9,701,21030,270
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",10,701,21030,300
"JUST FOR THE SUMMER","Ab Jimenez","9781538704431",11,701,21030,330
"IT ENDS WITH US","Colleen Hoover","9781501110368",12,701,21030,360
"ALL THE COLORS OF THE DARK","Chris Whitaker","9780593798874",13,701,21030,390
"FUNNY STORY","Emily Henry","9780593441282",14,701,21030,420
"CAMINO GHOSTS","John Grisham","9780385545990",15,701,21030,450
"THE WOMEN","Kristin Hannah","9781250178633",1,700,21000,30
"ALL THE COLORS OF THE DARK","Chris Whitaker","9780593798874",2,700,21000,60
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",3,700,21000,90
