"title","author","ISBN","rank","week","description","bestsellers_date","pub","img_url","big_image_url","week_text"
"JAMES","Percival Everett","9780385550369",1,725,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780385550369-M.jpg","https://covers.openlibrary.org/b/isbn/9780385550369-L.jpg","December 21, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",2,725,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","December 21, 2024"
"WICKED","Gregory Maguire","9780061792946",3,725,"A misunderstood girl named Elphaba is declared a witch; the basis of the musical and the film.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780061792946-M.jpg","https://covers.openlibrary.org/b/isbn/9780061792946-L.jpg","December 21, 2024"
"FOURTH WING","Rebecca Yarros","9781649374042",4,725,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781649374042-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg","December 21, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",5,725,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","December 21, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",6,725,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","December 21, 2024"
"THE GOD OF THE WOODS","Liz Moore","9780593418918",7,725,"When a 13-year-old girl disappears from an Adirondack summer camp in 1975, secrets kept by the Van Laar family emerge.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780593418918-M.jpg","https://covers.openlibrary.org/b/isbn/9780593418918-L.jpg","December 21, 2024"
"WIND AND TRUTH","Brandon Sanderson","9781250319180",8,725,"The fifth book in the Stormlight Archive series. The fate of the Cosmere is imperiled as the fighting and chaos reach an apex.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781250319180-M.jpg","https://covers.openlibrary.org/b/isbn/9781250319180-L.jpg","December 21, 2024"
"IT STARTS WITH US","Colleen Hoover","9781668001226",9,725,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781668001226-M.jpg","https://covers.openlibrary.org/b/isbn/9781668001226-L.jpg","December 21, 2024"
"IT ENDS WITH US","Colleen Hoover","9781501110368",10,725,"A battered wife raised in a violent home attempts to halt the cycle of abuse; the basis of the film.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781501110368-M.jpg","https://covers.openlibrary.org/b/isbn/9781501110368-L.jpg","December 21, 2024"
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",11,725,"In Maine, 1789, a midwife seeks to uncover the true cause of the death of a man discovered entombed in the Kennebec River.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780593312070-M.jpg","https://covers.openlibrary.org/b/isbn/9780593312070-L.jpg","December 21, 2024"
"THE HOUSE OF CROSS","James Patterson","9780316402682",12,725,"The 33rd book in the Alex Cross series. Three candidates to the Supreme Court are violently attacked.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780316402682-M.jpg","https://covers.openlibrary.org/b/isbn/9780316402682-L.jpg","December 21, 2024"
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",13,725,"A man in search of the father he never knew encounters a single mom and rumors circulate of the nearby appearance of a white deer.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780593449592-M.jpg","https://covers.openlibrary.org/b/isbn/9780593449592-L.jpg","December 21, 2024"
"QUICKSILVER","Callie Hart","9781538774199",14,725,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781538774199-M.jpg","https://covers.openlibrary.org/b/isbn/9781538774199-L.jpg","December 21, 2024"
"IRON FLAME","Rebecca Yarros","9781649374172",15,725,"The second book in the Empyrean series. Violet Sorrengail’s next round of training under the new vice commandant might require her to betray the man she loves.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781649374172-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374172-L.jpg","December 21, 2024"
"JAMES","Percival Everett","9780385550369",1,724,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780385550369-M.jpg","https://covers.openlibrary.org/b/isbn/9780385550369-L.jpg","December 14, 2024"
"WIND AND TRUTH","Brandon Sanderson","9781250319180",2,724,"The fifth book in the Stormlight Archive series. The fate of the Cosmere is imperiled as the fighting and chaos reach an apex.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781250319180-M.jpg","https://covers.openlibrary.org/b/isbn/9781250319180-L.jpg","December 14, 2024"
"WICKED","Gregory Maguire","9780061792946",3,724,"A misunderstood girl named Elphaba is declared a witch; the basis of the musical and the film.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780061792946-M.jpg","https://covers.openlibrary.org/b/isbn/9780061792946-L.jpg","December 14, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",4,724,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","December 14, 2024"
"FOURTH WING","Rebecca Yarros","9781649374042",5,724,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781649374042-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg","December 14, 2024"
"THE HOUSE OF CROSS","James Patterson","9780316402682",6,724,"The 33rd book in the Alex Cross series. Three candidates to the Supreme Court are violently attacked.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780316402682-M.jpg","https://covers.openlibrary.org/b/isbn/9780316402682-L.jpg","December 14, 2024"
"THE GOD OF THE WOODS","Liz Moore","9780593418918",7,724,"When a 13-year-old girl disappears from an Adirondack summer camp in 1975, secrets kept by the Van Laar family emerge.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780593418918-M.jpg","https://covers.openlibrary.org/b/isbn/9780593418918-L.jpg","December 14, 2024"
"THE WEDDING PEOPLE","Alison Espach","9781250899576",8,724,"A woman who is down on her luck forms an unexpected bond with the bride at a wedding in Rhode Island.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781250899576-M.jpg","https://covers.openlibrary.org/b/isbn/9781250899576-L.jpg","December 14, 2024"
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",9,724,"In Maine, 1789, a midwife seeks to uncover the true cause of the death of a man discovered entombed in the Kennebec River.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780593312070-M.jpg","https://covers.openlibrary.org/b/isbn/9780593312070-L.jpg","December 14, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",10,724,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","December 14, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",11,724,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","December 14, 2024"
"QUICKSILVER","Callie Hart","9781538774199",12,724,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781538774199-M.jpg","https://covers.openlibrary.org/b/isbn/9781538774199-L.jpg","December 14, 2024"
"SMALL THINGS LIKE THESE","Claire Keegan","9780802158741",13,724,"A coal merchant discovers something that causes turmoil in a small Irish town controlled by the church in 1985; the basis of the film.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780802158741-M.jpg","https://covers.openlibrary.org/b/isbn/9780802158741-L.jpg","December 14, 2024"
"TO DIE FOR","David Baldacci","9781538757901",14,724,"The third book in the 6:20 Man series. Devine digs into the deaths of an orphan’s parents and uncovers a large conspiracy.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781538757901-M.jpg","https://covers.openlibrary.org/b/isbn/9781538757901-L.jpg","December 14, 2024"
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",15,724,"A man in search of the father he never knew encounters a single mom and rumors circulate of the nearby appearance of a white deer.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780593449592-M.jpg","https://covers.openlibrary.org/b/isbn/9780593449592-L.jpg","December 14, 2024"
"WIND AND TRUTH","Brandon Sanderson","9781250319180",1,723,"The fifth book in the Stormlight Archive series. The fate of the Cosmere is imperiled as the fighting and chaos reach an apex.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9781250319180-M.jpg","https://covers.openlibrary.org/b/isbn/9781250319180-L.jpg","December 07, 2024"
"WICKED","Gregory Maguire","9780061792946",2,723,"A misunderstood girl named Elphaba is declared a witch; the basis of the musical and the film.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9780061792946-M.jpg","https://covers.openlibrary.org/b/isbn/9780061792946-L.jpg","December 07, 2024"
"JAMES","Percival Everett","9780385550369",3,723,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9780385550369-M.jpg","https://covers.openlibrary.org/b/isbn/9780385550369-L.jpg","December 07, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",4,723,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","December 07, 2024"
"FOURTH WING","Rebecca Yarros","9781649374042",5,723,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9781649374042-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg","December 07, 2024"
"THE HOUSE OF CROSS","James Patterson","9780316402682",6,723,"The 33rd book in the Alex Cross series. Three candidates to the Supreme Court are violently attacked.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9780316402682-M.jpg","https://covers.openlibrary.org/b/isbn/9780316402682-L.jpg","December 07, 2024"
"QUICKSILVER","Callie Hart","9781538774199",7,723,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9781538774199-M.jpg","https://covers.openlibrary.org/b/isbn/9781538774199-L.jpg","December 07, 2024"
"THE NIGHTINGALE","Kristin Hannah","9780312577223",8,723,"Two sisters are separated in World War II France: one in the countryside, the other in Paris.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9780312577223-M.jpg","https://covers.openlibrary.org/b/isbn/9780312577223-L.jpg","December 07, 2024"
"TO DIE FOR","David Baldacci","9781538757901",9,723,"The third book in the 6:20 Man series. Devine digs into the deaths of an orphan’s parents and uncovers a large conspiracy.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9781538757901-M.jpg","https://covers.openlibrary.org/b/isbn/9781538757901-L.jpg","December 07, 2024"
"TOM CLANCY: DEFENSE PROTOCOL","Brian Andrews and Jeffrey Wilson","9780593717981",10,723,"The 25th book in the Jack Ryan series. When Taiwan comes under threat, President Ryan must act.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9780593717981-M.jpg","https://covers.openlibrary.org/b/isbn/9780593717981-L.jpg","December 07, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",11,723,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","December 07, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",12,723,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","December 07, 2024"
"NOW OR NEVER","Janet Evanovich","9781668003138",13,723,"The 31st book in the Stephanie Plum series. Caught between two fiancés and not knowing what to do, Plum gets back to business as a bounty hunter.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9781668003138-M.jpg","https://covers.openlibrary.org/b/isbn/9781668003138-L.jpg","December 07, 2024"
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",14,723,"In Maine, 1789, a midwife seeks to uncover the true cause of the death of a man discovered entombed in the Kennebec River.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9780593312070-M.jpg","https://covers.openlibrary.org/b/isbn/9780593312070-L.jpg","December 07, 2024"
"ALL THE COLORS OF THE DARK","Chris Whitaker","9780593798874",15,723,"Questions arise when a boy saves the daughter of a wealthy family amid a string of disappearances in a Missouri town in 1975.",2024-12-07,2024-12-22,"https://covers.openlibrary.org/b/isbn/9780593798874-M.jpg","https://covers.openlibrary.org/b/isbn/9780593798874-L.jpg","December 07, 2024"
"WICKED","Gregory Maguire","9780061792946",1,722,"A misunderstood girl named Elphaba is declared a witch; the basis of the musical and the film.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9780061792946-M.jpg","https://covers.openlibrary.org/b/isbn/9780061792946-L.jpg","November 30, 2024"
"THE HOUSE OF CROSS","James Patterson","9780316402682",2,722,"The 33rd book in the Alex Cross series. Three candidates to the Supreme Court are violently attacked.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9780316402682-M.jpg","https://covers.openlibrary.org/b/isbn/9780316402682-L.jpg","November 30, 2024"
"FOURTH WING","Rebecca Yarros","9781649374042",3,722,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781649374042-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg","November 30, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",4,722,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","November 30, 2024"
"JAMES","Percival Everett","9780385550369",5,722,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9780385550369-M.jpg","https://covers.openlibrary.org/b/isbn/9780385550369-L.jpg","November 30, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",6,722,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","November 30, 2024"
"NOW OR NEVER","Janet Evanovich","9781668003138",7,722,"The 31st book in the Stephanie Plum series. Caught between two fiancés and not knowing what to do, Plum gets back to business as a bounty hunter.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781668003138-M.jpg","https://covers.openlibrary.org/b/isbn/9781668003138-L.jpg","November 30, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",8,722,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","November 30, 2024"
"TO DIE FOR","David Baldacci","9781538757901",9,722,"The third book in the 6:20 Man series. Devine digs into the deaths of an orphan’s parents and uncovers a large conspiracy.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781538757901-M.jpg","https://covers.openlibrary.org/b/isbn/9781538757901-L.jpg","November 30, 2024"
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",10,722,"A man in search of the father he never knew encounters a single mom and rumors circulate of the nearby appearance of a white deer.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9780593449592-M.jpg","https://covers.openlibrary.org/b/isbn/9780593449592-L.jpg","November 30, 2024"
"VERITY","Colleen Hoover","9781791392796",11,722,"Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781791392796-M.jpg","https://covers.openlibrary.org/b/isbn/9781791392796-L.jpg","November 30, 2024"
"THE MIRROR","Nora Roberts","9781250288776",12,722,"The second book in the Lost Bride series. In a haunted mansion, Sonya receives a vision of a bride murdered on her wedding day.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781250288776-M.jpg","https://covers.openlibrary.org/b/isbn/9781250288776-L.jpg","November 30, 2024"
"THE BOYFRIEND","Freida McFadden","9781728296227",13,722,"A series of recent deaths causes Sydney Shaw to become suspicious of the handsome doctor she started dating.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781728296227-M.jpg","https://covers.openlibrary.org/b/isbn/9781728296227-L.jpg","November 30, 2024"
"THE PERFECT MARRIAGE","Jeneva Rose","9781913419653",14,722,"A criminal defense attorney vows to defend her husband after he is accused of murdering his mistress.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781913419653-M.jpg","https://covers.openlibrary.org/b/isbn/9781913419653-L.jpg","November 30, 2024"
"IRON FLAME","Rebecca Yarros","9781649374172",15,722,"The second book in the Empyrean series. Violet Sorrengail’s next round of training under the new vice commandant might require her to betray the man she loves.",2024-11-30,2024-12-15,"https://covers.openlibrary.org/b/isbn/9781649374172-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374172-L.jpg","November 30, 2024"
"THE MIRROR","Nora Roberts","9781250288776",1,721,"The second book in the Lost Bride series. In a haunted mansion, Sonya receives a vision of a bride murdered on her wedding day.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9781250288776-M.jpg","https://covers.openlibrary.org/b/isbn/9781250288776-L.jpg","November 23, 2024"
"NOW OR NEVER","Janet Evanovich","9781668003138",2,721,"The 31st book in the Stephanie Plum series. Caught between two fiancés and not knowing what to do, Plum gets back to business as a bounty hunter.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9781668003138-M.jpg","https://covers.openlibrary.org/b/isbn/9781668003138-L.jpg","November 23, 2024"
"THE SONGBIRD & THE HEART OF STONE","Carissa Broadbent","9781250367785",3,721,"The third book in the Crowns of Nyaxia series and first book of the Shadowborn Duet.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9781250367785-M.jpg","https://covers.openlibrary.org/b/isbn/9781250367785-L.jpg","November 23, 2024"
"JAMES","Percival Everett","9780385550369",4,721,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9780385550369-M.jpg","https://covers.openlibrary.org/b/isbn/9780385550369-L.jpg","November 23, 2024"
"TO DIE FOR","David Baldacci","9781538757901",5,721,"The third book in the 6:20 Man series. Devine digs into the deaths of an orphan’s parents and uncovers a large conspiracy.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9781538757901-M.jpg","https://covers.openlibrary.org/b/isbn/9781538757901-L.jpg","November 23, 2024"
"WICKED","Gregory Maguire","9780061792946",6,721,"A misunderstood girl named Elphaba is declared a witch; the basis of the musical and the film.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9780061792946-M.jpg","https://covers.openlibrary.org/b/isbn/9780061792946-L.jpg","November 23, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",7,721,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","November 23, 2024"
"FOURTH WING","Rebecca Yarros","9781649374042",8,721,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9781649374042-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg","November 23, 2024"
"THE CITY AND ITS UNCERTAIN WALLS","Haruki Murakami","9780593801970",9,721,"A man who searched over many years for the person he loved when they were teens discovers another world; translated by Philip Gabriel.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9780593801970-M.jpg","https://covers.openlibrary.org/b/isbn/9780593801970-L.jpg","November 23, 2024"
"TRIAL BY FIRE","Danielle Steel","9780593498583",10,721,"The chief executive of a Paris-based perfume business finds her future in jeopardy when she assists after brush fires occur in Napa Valley.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9780593498583-M.jpg","https://covers.openlibrary.org/b/isbn/9780593498583-L.jpg","November 23, 2024"
"THE BOYFRIEND","Freida McFadden","9781728296227",11,721,"A series of recent deaths causes Sydney Shaw to become suspicious of the handsome doctor she started dating.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9781728296227-M.jpg","https://covers.openlibrary.org/b/isbn/9781728296227-L.jpg","November 23, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",12,721,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","November 23, 2024"
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",13,721,"A man in search of the father he never knew encounters a single mom and rumors circulate of the nearby appearance of a white deer.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9780593449592-M.jpg","https://covers.openlibrary.org/b/isbn/9780593449592-L.jpg","November 23, 2024"
"IN TOO DEEP","Lee Child and Andrew Child","9780593725801",14,721,"The 29th book in the Jack Reacher series. Reacher wakes up in a precarious position with no memory of how he got there.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9780593725801-M.jpg","https://covers.openlibrary.org/b/isbn/9780593725801-L.jpg","November 23, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",15,721,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-11-23,2024-12-08,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","November 23, 2024"
"TO DIE FOR","David Baldacci","9781538757901",1,720,"The third book in the 6:20 Man series. Devine digs into the deaths of an orphan’s parents and uncovers a large conspiracy.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9781538757901-M.jpg","https://covers.openlibrary.org/b/isbn/9781538757901-L.jpg","November 16, 2024"
"FOURTH WING","Rebecca Yarros","9781649374042",2,720,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9781649374042-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg","November 16, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",3,720,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","November 16, 2024"
"THE BOYFRIEND","Freida McFadden","9781728296227",4,720,"A series of recent deaths causes Sydney Shaw to become suspicious of the handsome doctor she started dating.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9781728296227-M.jpg","https://covers.openlibrary.org/b/isbn/9781728296227-L.jpg","November 16, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",5,720,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","November 16, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",6,720,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","November 16, 2024"
"IN TOO DEEP","Lee Child and Andrew Child","9780593725801",7,720,"The 29th book in the Jack Reacher series. Reacher wakes up in a precarious position with no memory of how he got there.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9780593725801-M.jpg","https://covers.openlibrary.org/b/isbn/9780593725801-L.jpg","November 16, 2024"
"HOW MY NEIGHBOR STOLE CHRISTMAS","Meghan Quinn","9781464230158",8,720,"A fake relationship and a Christmas contest may lead to unexpected consequences.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9781464230158-M.jpg","https://covers.openlibrary.org/b/isbn/9781464230158-L.jpg","November 16, 2024"
"JAMES","Percival Everett","9780385550369",9,720,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9780385550369-M.jpg","https://covers.openlibrary.org/b/isbn/9780385550369-L.jpg","November 16, 2024"
"LIGHTS OUT","Navessa Allen","9781638932239",10,720,"As Aly and Josh live out their dark fantasies, someone with sinister intentions impinges on them.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9781638932239-M.jpg","https://covers.openlibrary.org/b/isbn/9781638932239-L.jpg","November 16, 2024"
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",11,720,"In Maine, 1789, a midwife seeks to uncover the true cause of the death of a man discovered entombed in the Kennebec River.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9780593312070-M.jpg","https://covers.openlibrary.org/b/isbn/9780593312070-L.jpg","November 16, 2024"
"WICKED","Gregory Maguire","9780061792946",12,720,"A misunderstood girl named Elphaba is declared a witch; the basis of the musical and the film.",2024-11-16,2024-12-01,"https://covers.openlibrary.org/b/isbn/9780061792946-M.jpg","https://covers.openlibrary.org/b/isbn/9780061792946-L.jpg","November 16, 2024"
